stills/yawn-07.json {"flex":0,"thumbs_up":0,"yawn":0.9745019934607717} {"flex":{"bend":0.63,"height":0,"beside":0,"level":0.81,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0.77},"yawn":{"mouth":1,"eyes":0.94,"brows":0.99}} mouthOpen=0.558 eye=0.065 brow=0.125
stills-mirror/yawn-07.json {"flex":0,"thumbs_up":0,"yawn":0.49886595938219824} {"flex":{"bend":0,"height":0.83,"beside":1,"level":1,"clear":0},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0.55},"yawn":{"mouth":0.4,"eyes":0.65,"brows":0.92}} mouthOpen=0.388 eye=0.088 brow=0.123
stills-portrait/yawn-07.json {"flex":0,"thumbs_up":0,"yawn":0} {"flex":{"bend":0.65,"height":1,"beside":1,"level":1,"clear":0},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0.92},"yawn":{"mouth":1,"eyes":0,"brows":0.59}} mouthOpen=0.663 eye=0.174 brow=0.115
stills/yawn-17.json {"flex":0,"thumbs_up":0,"yawn":0.5644048335100673} {"flex":{"bend":0.09,"height":0,"beside":0,"level":0,"clear":1},"thumbs_up":{"folded":0,"up":1,"upright":1,"clear":0},"yawn":{"mouth":0.48,"eyes":1,"brows":0.38}} mouthOpen=0.409 eye=-0.002 brow=0.109
stills-mirror/yawn-17.json {"flex":0,"thumbs_up":0,"yawn":0.4823051797646356} {"flex":{"bend":0,"height":0,"beside":0,"level":0,"clear":1},"thumbs_up":{"folded":0,"up":1,"upright":1,"clear":0},"yawn":{"mouth":0.8,"eyes":1,"brows":0.26}} mouthOpen=0.495 eye=0.003 brow=0.107
stills/yawn-18.json {"flex":0,"thumbs_up":0,"yawn":0.8119973932748155} {"flex":{"bend":0,"height":0,"beside":1,"level":0,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":1,"eyes":1,"brows":0.73}} mouthOpen=0.714 eye=0.055 brow=0.118
stills-mirror/yawn-18.json {"flex":0,"thumbs_up":0,"yawn":0.4175080303461936} {"flex":{"bend":0,"height":0,"beside":1,"level":0,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":1,"eyes":0.63,"brows":0.17}} mouthOpen=0.760 eye=0.090 brow=0.104
stills/yawn-19.json {"flex":0,"thumbs_up":0,"yawn":1} {"flex":{"bend":0,"height":0,"beside":0.89,"level":0,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":1,"eyes":1,"brows":1}} mouthOpen=0.816 eye=-0.024 brow=0.127
stills-portrait/yawn-19.json {"flex":0,"thumbs_up":0,"yawn":0} {"flex":{"bend":0,"height":0,"beside":0,"level":0,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":1,"eyes":0,"brows":0.24}} mouthOpen=0.966 eye=0.187 brow=0.106
stills-far/yawn-19.json {"flex":0,"thumbs_up":0,"yawn":0} {"flex":{"bend":0,"height":0,"beside":0.19,"level":0,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":1,"eyes":0,"brows":0}} mouthOpen=0.893 eye=0.209 brow=0.100
stills/flex-04.json {"flex":1,"thumbs_up":0,"yawn":0} {"flex":{"bend":1,"height":1,"beside":1,"level":1,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":0,"eyes":0,"brows":0.65}} mouthOpen=0.169 eye=0.174 brow=0.116
stills-portrait/flex-04.json {"flex":0.11312098327085685,"thumbs_up":0,"yawn":0} {"flex":{"bend":0.11,"height":0.94,"beside":1,"level":1,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":0,"eyes":0,"brows":0}} no face
stills-far/flex-04.json {"flex":0.32001732848712133,"thumbs_up":0,"yawn":0} {"flex":{"bend":1,"height":0.32,"beside":1,"level":1,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":0,"eyes":0,"brows":0}} no face
stills-portrait/flex-06.json {"flex":0,"thumbs_up":0,"yawn":0} {"flex":{"bend":1,"height":0,"beside":1,"level":0,"clear":1},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":0,"eyes":0,"brows":0}} no face
stills/flex-06.json {"flex":0.8125144526461971,"thumbs_up":0,"yawn":0} {"flex":{"bend":1,"height":1,"beside":1,"level":1,"clear":0.81},"thumbs_up":{"folded":0,"up":0,"upright":0,"clear":0},"yawn":{"mouth":0,"eyes":0,"brows":0}} no face
